id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count,full_text_no_hashtag
1972636256510374359,Mon Sep 29 12:15:08 +0000 2025,Purbaya: Dari Rp 71 T Anggaran MBG Baru Rp13 T yang terserap Rp 58 T Hilang dalam Birokrasi . . Mana yg lebih jahat‼️ Siapa yg penjahat ‼️ https://t.co/doLQyV11iK,purbaya dari anggaran mbg baru yang terserap hilang dalam birokrasi mana yang lebih jahat siapa yang penjahat,3,2,0,Purbaya: Dari Rp 71 T Anggaran MBG Baru Rp13 T yang terserap Rp 58 T Hilang dalam Birokrasi . . Mana yg lebih jahat‼️ Siapa yg penjahat ‼️ https://t.co/doLQyV11iK
1972633578312962178,Mon Sep 29 12:04:29 +0000 2025,@sukamotipuyo &gt;Purbaya mau potong cukai rokok &gt;tren pamer rokok mulai viral something sounds suspicious https://t.co/Ku8l0dy5VY,gtpurbaya mau potong cukai rokok gttren pamer rokok mulai viral something sounds suspicious,20,0,0,@sukamotipuyo &gt;Purbaya mau potong cukai rokok &gt;tren pamer rokok mulai viral something sounds suspicious https://t.co/Ku8l0dy5VY
1972630183950819745,Mon Sep 29 11:51:00 +0000 2025,Bonus 10.000 saldo kalau install apk Shopeepay Caranya : Upgrade ke Spay plus log in pakai akun shopee &amp; masukkan kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri https://t.co/jrJWpyIRFp https://t.co/rBzzdFxOQF,bonus saldo kalau install apk shopeepay caranya upgrade spay plus log pakai akun shopee amp masukkan kode referral ffjwvwp diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri,1,0,0,Bonus 10.000 saldo kalau install apk Shopeepay Caranya : Upgrade ke Spay plus log in pakai akun shopee &amp; masukkan kode referral FF6JWV5WP diskon promo info freelance job receh zonauang menpora erick thohir bahlil prabowo jokowi purbaya indra sjafri https://t.co/jrJWpyIRFp https://t.co/rBzzdFxOQF
1972628683459305866,Mon Sep 29 11:45:02 +0000 2025,Rp6 5 T Bansos Cair Oktober! Menkeu Purbaya janji Bansos beras 10 Kg &amp; Minyak cair ke 18 27 juta penerima pastikan fiskal sehat &amp; siap https://t.co/vgKSF84C2t,bansos cair oktober menkeu purbaya janji bansos beras amp minyak cair juta penerima pastikan fiskal sehat amp siap,0,0,0,Rp6 5 T Bansos Cair Oktober! Menkeu Purbaya janji Bansos beras 10 Kg &amp; Minyak cair ke 18 27 juta penerima pastikan fiskal sehat &amp; siap https://t.co/vgKSF84C2t
1972628138522968118,Mon Sep 29 11:42:52 +0000 2025,Pak Purbaya pasti masa mudanya jd fineshyt,pak purbaya pasti masa mudanya fineshyt,2,0,0,Pak Purbaya pasti masa mudanya jd fineshyt
1972627846423347403,Mon Sep 29 11:41:42 +0000 2025, Rokok Ilegal: Bisnis Gelap Triliunan Oknum Diduga Terlibat! Menteri Keuangan Purbaya Yudhi Sadewa menegaskan pemerintah akan menertibkan peredaran rokok ilegal yang merugikan negara hingga Rp97 81 triliun pada 2024. https://t.co/BXWb2oyiXl,rokok ilegal bisnis gelap triliunan oknum diduga terlibat menteri keuangan purbaya yudhi sadewa menegaskan pemerintah akan meneibkan peredaran rokok ilegal yang merugikan negara hingga triliun pada,0,3,0,Rokok Ilegal: Bisnis Gelap Triliunan Oknum Diduga Terlibat! Menteri Keuangan Purbaya Yudhi Sadewa menegaskan pemerintah akan menertibkan peredaran rokok ilegal yang merugikan negara hingga Rp97 81 triliun pada 2024. https://t.co/BXWb2oyiXl
1972627307346247936,Mon Sep 29 11:39:34 +0000 2025,@abu_waras Butuh waktu utk perbaiki perekonomian kita yg dirusak rejim bajingan tolol Mulyono. Tapi yg dibilang Purbaya logis kok. Dia munculnya telat aja,butuh waktu untuk perbaiki perekonomian kita yang dirusak rejim bajingan tolol mulyono tapi yang dibilang purbaya logis kok dia munculnya telat aja,9,0,0,@abu_waras Butuh waktu utk perbaiki perekonomian kita yg dirusak rejim bajingan tolol Mulyono. Tapi yg dibilang Purbaya logis kok. Dia munculnya telat aja
1972621672042906035,Mon Sep 29 11:17:10 +0000 2025,@liputan6dotcom Benarkah bahwa Kemenkeu kementrian keuangan. Berganti sifat menjadi Menko menteri ekonomi dibawah pengaruh Purbaya ,benarkah bahwa kemenkeu kementrian keuangan berganti sifat menjadi menko menteri ekonomi dibawah pengaruh purbaya,0,0,0,@liputan6dotcom Benarkah bahwa Kemenkeu kementrian keuangan. Berganti sifat menjadi Menko menteri ekonomi dibawah pengaruh Purbaya
1972621408800043214,Mon Sep 29 11:16:08 +0000 2025,Menteri Keuangan Purbaya Yudhi Sadewa menempatkan Rp200 triliun dana pemerintah di 5 bank nasional. Harapannya langkah ini bisa menurunkan suku bunga kredit dan menggerakkan kembali roda ekonomi. Tapi sejumlah pihak menilai kebijakan ini belum tentu efektif. Lesunya penyaluran https://t.co/9NFoIYWp1N,menteri keuangan purbaya yudhi sadewa menempatkan triliun dana pemerintah bank nasional harapannya langkah ini bisa menurunkan suku bunga kredit dan menggerakkan kembali roda ekonomi tapi sejumlah pihak menilai kebijakan ini belum tentu efektif lesunya penyaluran,15,8,4,Menteri Keuangan Purbaya Yudhi Sadewa menempatkan Rp200 triliun dana pemerintah di 5 bank nasional. Harapannya langkah ini bisa menurunkan suku bunga kredit dan menggerakkan kembali roda ekonomi. Tapi sejumlah pihak menilai kebijakan ini belum tentu efektif. Lesunya penyaluran https://t.co/9NFoIYWp1N
1972621364415623662,Mon Sep 29 11:15:57 +0000 2025,Kemenperin Purbaya Tak Naikkan Tarif Cukai Rokok 2026 https://t.co/sMFuCvq0CJ,kemenperin purbaya tak naikkan tarif cukai rokok,0,0,0,Kemenperin Purbaya Tak Naikkan Tarif Cukai Rokok 2026 https://t.co/sMFuCvq0CJ
