id_str,created_at,full_text,normalized_text,favorite_count,reply_count,retweet_count
1977228516468179416,Sun Oct 12 04:23:08 +0000 2025,Harus di akui Purbaya pada kebijakan ini membantu mendorong kemampuan belanja masyarakat yang merupakan motor penggerak ekonomi. Dengan menjaga momentum pertumbuhan ekonomi digital yang pesat penundaan pajak ini mendukung ekspansi lapangan kerja dan memberikan sinyal positif,harus akui purbaya pada kebijakan ini membantu mendorong kemampuan belanja masyarakat yang merupakan motor penggerak ekonomi dengan menjaga momentum peumbuhan ekonomi digital yang pesat penundaan pajak ini mendukung ekspansi lapangan kerja dan memberikan sinyal positif,334,12,123
1977228161592311888,Sun Oct 12 04:21:43 +0000 2025,Menteri Keuangan Purbaya Yudhi Sadewa menegaskan tak tertarik maju di Pilpres 2029 dan memilih fokus menjalankan tugas setelah sebulan menjabat menggantikan Sri Mulyani #menkeu #purbaya #cawapres https://t.co/POzX5KgpNQ,menteri keuangan purbaya yudhi sadewa menegaskan tak tearik maju pilpres dan memilih fokus menjalankan tugas setelah sebulan menjabat menggantikan sri mulyani,0,0,0
1977228030100881487,Sun Oct 12 04:21:12 +0000 2025,@Ronnie_Rusli Gitu ya prof Purbaya syndrom,gitu prof purbaya syndrom,0,0,0
1977227748205904205,Sun Oct 12 04:20:04 +0000 2025,kak pak purbaya menteri keuangan indo pake lagu GO! @zhaoyufancokr https://t.co/RmSOQfuIo9,kak pak purbaya menteri keuangan indo pake lagu,15,7,0
1977227625937735720,Sun Oct 12 04:19:35 +0000 2025,@Naz_lira @Meydie73 Bak menentang arus PURBAYA INI itu menurut sy....,bak menentang arus purbaya ini itu menurut saya,0,0,0
1977227624012562846,Sun Oct 12 04:19:35 +0000 2025,@KangManto123 Aju kuatir sama pak Purbaya loh bang ..,aju kuatir sama pak purbaya loh bang,0,0,0
1977227537542791549,Sun Oct 12 04:19:14 +0000 2025,Menkeu purbaya dorong peningkatan LIKUIDITAS dan INVESTASI agar ekonomi tumbuh lebih kuat https://t.co/lpAengN4Ku,menkeu purbaya dorong peningkatan likuiditas dan investasi agar ekonomi tumbuh lebih kuat,0,0,0
1977226802461655248,Sun Oct 12 04:16:19 +0000 2025,@satriohendri Purbaya ya Purbaya enggak selevel dengan Mr J yang urakan,purbaya purbaya enggak selevel dengan yang urakan,1,0,0
1977225696280998145,Sun Oct 12 04:11:55 +0000 2025,Menkeu Purbaya Yudhi Sadewa siap memutar uang negara lewat Bank Pembangunan Daerah agar ekonomi daerah ikut berdenyut dan uang rakyat benar-benar bekerja untuk rakyat. 🇮🇩 #NOWFEST_BKKD1 #キングオブコント #FreenBeckyFMinOsaka #millitakim #SB19 #Afghanistan https://t.co/mYaqlmmIqV,menkeu purbaya yudhi sadewa siap memutar uang negara lewat bank pembangunan daerah agar ekonomi daerah ikut berdenyut dan uang rakyat benarbenar bekerja untuk rakyat,1,0,0
1977225694838243414,Sun Oct 12 04:11:55 +0000 2025,@masjalah terlalu tinggi ambisi dan daya rusaknya mulyono waktu itu ke tatanan negara ini utang operasional proyek sampe numpuk gt palagi kelakuan ternak tenaknya anjing emang semoga pa Purbaya ga kena cawe cawe dari kelakuan ampas framing dari ternak2 setan oslo,terlalu tinggi ambisi dan daya rusaknya mulyono waktu itu tatanan negara ini utang operasional proyek sampe numpuk palagi kelakuan ternak tenaknya anjing emang semoga purbaya tidak kena cawe cawe dari kelakuan ampas framing dari ternak setan oslo,28,0,0
1977225270341124176,Sun Oct 12 04:10:14 +0000 2025,Menkeu Purbaya Ingin Setahun Ini Banyak Penggoreng Saham Dihukum https://t.co/X2RVi2JkMW,menkeu purbaya ingin setahun ini banyak penggoreng saham dihukum,0,0,0
1977225068821594139,Sun Oct 12 04:09:26 +0000 2025,Luar biasa pak #Purbaya ini betul2 pejabat langka pekerjaan beberapa menteri sekaligus dilibas dgn enteng dalam waktu singkat. Pak @Prabowo beri dia wewenang lebih agar lebih power full seperti merangkap jadi #Wapres sekaligus #MenteriKeuangan misalnya https://t.co/RFoBfmq8kn,luar biasa pak ini betul pejabat langka pekerjaan beberapa menteri sekaligus dilibas dengan enteng dalam waktu singkat pak beri dia wewenang lebih agar lebih power full sepei merangkap jadi sekaligus misalnya,0,0,0
1977223653558567332,Sun Oct 12 04:03:48 +0000 2025,@BiLLRaY2019 Pak baya ini ada sentiment apa ya kemaren nyebut Fir'aun skrg ogah bayarin utang kereta cepat . Enak bgt nontonin aksinya pak Purbaya ini ,pak baya ini ada sentiment apa kemaren nyebut firaun skrg ogah bayarin utang kereta cepat enak banget nontonin aksinya pak purbaya ini,4,5,0
